Type,Country,InfraAvg,Treatment_Avg,SEdPc_Avg,Biomark_Avg,Clinical_Avg
Lung,Chile,3,3,3,3.3,3
Lung,Colombia,2.5,2.5,2.5,3.2,3
Lung,United States,5,5,5,4,4.6
Lung,Canada,4.5,5,5,3.9,4.6
Lung,Australia,5,4.5,4.5,3.8,4.6
Lung,New Zealand,4,4,4,3.8,4.6
Lung,Greece,3.5,3.5,3.5,3.5,3
Lung,Rwanda,1,1,1,1.7,1.2
Lung,Uganda,1,1,1,1.8,1.2
Lung,Serbia,3,3,3,3.1,2.8
Lung,Saudi Arabia,4,3.5,3.5,3.4,3.6
Lung,UAE,4,3.5,3.5,3.5,3.6
Lung,Syria,1,1,1,1.7,1.2
Lung,Indonesia,2,2.5,2.5,2.7,2
Lung,Vietnam,3,2.5,2.5,2.8,2
Lung,Philippines,2,2.5,2.5,2.6,2
Lung,Russia,3.5,3,3,3.5,3
Lung,Malaysia,4,3,2.5,2.6,3.6
Prostate,South Africa,3,3,2.3,1.6,3
Prostate,Kenya,1.5,1,1,0.8,1.6
Prostate,Nigeria,1.5,1,1,0.8,1.6
Prostate,Egypt,2.5,2,2,1.4,2.6
Prostate,Morocco,2.5,2,2,1.2,1.6
Prostate,Algeria,2,2,2,1.2,1.6
Prostate,Ethiopia,1,1,1,0.5,1
Prostate,India,3,3,3,1.1,2.6
Prostate,Japan,5,4.3,4.7,0.8,3.2
Prostate,South Korea,5,4.3,4.3,1,3.4
Prostate,China,3.5,3,3,0.9,2.6
Prostate,Thailand,3,2.3,2,1.4,2.6
Prostate,Singapore,5,4.7,5,2.1,4.4
Prostate,United Kingdom,5,4.7,5,2.6,4.6
Prostate,Germany,5,5,5,3,4.6
Prostate,France,5,4,4.3,2.8,4.6
Prostate,Netherlands,5,5,5,3,4.6
Prostate,Sweden,5,5,5,3,4.6
Prostate,Italy,4.5,4,4.3,2.8,4.6
Prostate,Spain,4.5,4,4.3,2.6,4.6
Prostate,Poland,3.5,3,3,2.3,3.6
Prostate,Mexico,3,2.7,2,1.7,2.8
Prostate,Brazil,3,2.7,3,1.9,3.6
Prostate,Argentina,3,2.7,3,1.7,3.6
Prostate,Chile,3,2.7,3,1.7,3.6
Prostate,Colombia,2.5,1.7,2,1.6,2.8
Prostate,United States,5,5,5,2.8,4.6
Prostate,Canada,5,5,5,2.6,4.6
Prostate,Australia,5,4,4.3,2.8,4.6
Prostate,New Zealand,4,3,3.7,2.8,4.6
Prostate,Greece,3.5,3,3,2.3,3.6
Prostate,Rwanda,1,1,1,0.4,1
Prostate,Uganda,1,1,1,0.5,1
Prostate,Serbia,3,2.7,2.3,1.7,3.6
Prostate,Saudi Arabia,4,4,4,1.7,3.6
Prostate,UAE,4,4,4,1.9,3.6
Prostate,Syria,1,1,1,0.8,1
Prostate,Indonesia,2,2,2,1.5,2.6
Prostate,Vietnam,2.5,2.3,2,0.8,2.6
Prostate,Philippines,2.5,2.3,2,1.5,2.6
Prostate,Russia,4,4,3.7,2.1,3
Prostate,Malaysia,2.5,2.7,2.7,2.7,2.6
Colorectal,South Africa,3,3,2.3,1.2,3
Colorectal,Kenya,2,1,1,0.6,1.6
Colorectal,Nigeria,2,1,1,0.6,1.6
Colorectal,Egypt,3,2,2,1.1,2.6
Colorectal,Morocco,3,2,2,0.8,1.6
Colorectal,Algeria,2,2,2,0.8,1.6
Colorectal,Ethiopia,1,1,1,0.3,1
Colorectal,India,3.5,3,3,0.8,2.6
Colorectal,Japan,5,4.3,4.7,0.5,3.2
Colorectal,South Korea,5,4.3,4.3,0.8,3.4
Colorectal,China,4,3,3,0.7,2.6
Colorectal,Thailand,3,2.3,2,1.1,2.6
Colorectal,Singapore,5,4.7,5,1.7,4.4
Colorectal,United Kingdom,5,4.7,5,2.2,4.6
Colorectal,Germany,5,5,5,2.5,4.6
Colorectal,France,5,4,4.3,2.3,4.6
Colorectal,Netherlands,5,5,5,2.5,4.6
Colorectal,Sweden,5,5,5,2.5,4.6
Colorectal,Italy,5,4,4.3,2.3,4.6
Colorectal,Spain,5,4,4.3,2.2,4.6
Colorectal,Poland,4,3,3,2,3.6
Colorectal,Mexico,3,2.7,2,1.3,2.8
Colorectal,Brazil,3.5,2.7,3,1.6,3.6
Colorectal,Argentina,3,2.7,3,1.3,3.6
Colorectal,Chile,3,2.7,3,1.3,3.6
Colorectal,Colombia,3,1.7,2,1.3,2.8
Colorectal,United States,5,5,5,2.4,4.6
Colorectal,Canada,5,5,5,2.2,4.6
Colorectal,Australia,5,4,4.3,2.4,4.6
Colorectal,New Zealand,5,3,3.7,2.4,4.6
Colorectal,Greece,4,3,3,1.9,3.6
Colorectal,Rwanda,1,1,1,0.2,1
Colorectal,Uganda,1,1,1,0.3,1
Colorectal,Serbia,3,2.7,2.3,1.3,3.6
Colorectal,Saudi Arabia,3,2.7,2.7,1,3.6
Colorectal,UAE,4,3.7,4,1,3.8
Colorectal,Syria,1,1,1,0.8,1
Colorectal,Indonesia,2,2,2,0.9,1.8
Colorectal,Vietnam,2,1.7,1.7,0.9,1.8
Colorectal,Philippines,2,2.3,2.3,0.9,2.8
Colorectal,Russia,3,2.7,3.3,1.6,3.6
Colorectal,Malaysia,3,2.7,2.7,2.5,2.6
Gastric,South Africa,3,2.3,3,1.7,3
Gastric,Kenya,2,1.7,2,0.5,1.6
Gastric,Nigeria,1.5,1.3,1.3,0.5,1.6
Gastric,Egypt,2.5,2.3,2.3,1.8,2.6
Gastric,Morocco,2,2,2,1.4,1.6
Gastric,Algeria,2,2,2,1.4,1.6
Gastric,Ethiopia,1,1,1,0.2,1
Gastric,India,3,3,3,1.7,2.6
Gastric,Japan,5,5,5,3.7,3.2
Gastric,South Korea,5,5,5,3.7,3.4
Gastric,China,5,4.3,4,2.6,2.6
Gastric,Thailand,3,3,3,2.1,2.6
Gastric,Singapore,5,4.3,5,3.2,4.4
Gastric,United Kingdom,4.5,4.7,5,3.9,4.6
Gastric,Germany,5,5,5,3.9,4.6
Gastric,France,5,4.7,5,3.9,4.6
Gastric,Netherlands,5,4.7,5,3.9,4.6
Gastric,Sweden,4.5,4.7,5,3.9,4.6
Gastric,Italy,4,4,4,3.9,4.6
Gastric,Spain,4,4,4,3.9,4.6
Gastric,Poland,3,3,3,3.1,3.6
Gastric,Mexico,2.5,2.3,3,2.2,2.8
Gastric,Brazil,3.5,3.3,3,2.6,3.6
Gastric,Argentina,3,3,3,2.6,3.6
Gastric,Chile,3,3,3,2.6,3.6
Gastric,Colombia,2.5,2.3,3,2.2,2.8
Gastric,United States,5,4.7,4.7,3.9,4.6
Gastric,Canada,5,4.7,5,3.9,4.6
Gastric,Australia,5,4.7,5,3.9,4.6
Gastric,New Zealand,4,3.7,5,3.6,4.6
Gastric,Greece,3,3,4,2.6,3.6
Gastric,Rwanda,1,1,1,0.2,1
Gastric,Uganda,1,1,1,0.2,1
Gastric,Serbia,3,2.3,3,2.6,3.6
Gastric,Saudi Arabia,3,2.3,3,2.2,2.6
Gastric,UAE,3,3,3,2.2,2.6
Gastric,Syria,1,1,1,0.5,1
Gastric,Indonesia,2.5,2.3,2.3,1.4,1.6
Gastric,Vietnam,2.5,2.3,2.3,1.4,1.6
Gastric,Philippines,2.5,2.3,2.3,1.4,1.6
Gastric,Russia,4,3.3,3,2.6,3.6
Gastric,Malaysia,2.5,2.3,2.7,2.1,2.6
